,Unnamed: 0,Unnamed: 0.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,0.0,13.28,0.0,0.0,0.0,0.0,60.47,0.0,59.05,0.0,0.0,0,3999
1,1.0,1.0,13.29,0.0,0.0,0.0,0.0,60.66,0.0,58.93,0.0,0.0,0,2999
2,2.0,2.0,13.27,0.0,0.0,0.0,0.0,60.26,0.0,59.14,0.0,0.0,0,5499
3,3.0,3.0,13.3,0.0,0.0,0.0,0.0,60.76,0.0,58.92,0.0,0.0,0,2499
4,4.0,4.0,13.27,0.0,0.0,0.0,0.0,60.37,0.0,59.04,0.0,0.0,0,4499
5,5.0,5.0,13.26,0.0,0.0,0.0,0.0,60.27,0.0,59.11,0.0,0.0,0,4999
6,6.0,6.0,13.27,0.0,0.0,0.0,0.0,60.22,0.0,59.18,0.0,0.0,0,5999
7,7.0,7.0,13.27,0.0,0.0,0.0,0.0,60.98,0.0,58.45,0.0,0.0,0,499
8,8.0,8.0,13.26,0.0,0.0,0.0,0.0,60.19,0.0,59.18,0.0,0.0,1,6499
9,9.0,9.0,13.29,0.0,0.0,0.0,0.0,60.81,0.0,58.81,0.0,0.0,0,1999
10,10.0,10.0,13.29,0.0,0.0,0.0,0.0,61.01,0.0,58.6,0.0,0.0,0,999
11,11.0,11.0,13.3,0.0,0.0,0.0,0.0,60.99,0.0,58.73,0.0,0.0,0,1499
12,12.0,12.0,13.28,0.0,0.0,0.0,0.0,60.5,0.0,58.98,0.0,0.0,0,3499
13,13.0,,13.26,0.0,0.0,0.0,0.0,60.15,0.0,59.22,0.0,0.0,1,8999
14,14.0,,13.31,0.0,0.0,0.0,0.0,60.39,0.0,59.42,0.0,0.0,2,17999
15,15.0,,13.29,0.0,0.0,0.0,0.0,60.3,0.0,59.34,0.0,0.0,2,12999
16,16.0,,13.32,0.0,0.0,0.0,0.0,60.42,0.0,59.5,0.0,0.0,2,19999
17,17.0,,13.29,0.0,0.0,0.0,0.0,60.32,0.0,59.33,0.0,0.0,1,14999
18,18.0,,13.27,0.0,0.0,0.0,0.0,60.2,0.0,59.22,0.0,0.0,1,9999
19,19.0,,13.3,0.0,0.0,0.0,0.0,60.32,0.0,59.35,0.0,0.0,2,13999
20,20.0,,13.31,0.0,0.0,0.0,0.0,60.35,0.0,59.45,0.0,0.0,2,16999
21,21.0,,13.31,0.0,0.0,0.0,0.0,60.29,0.0,59.5,0.0,0.0,3,25499
22,22.0,,13.32,0.0,0.0,0.0,0.0,60.34,0.0,59.52,0.0,0.0,2,22999
23,23.0,,13.32,0.0,0.0,0.0,0.0,60.41,0.0,59.51,0.0,0.0,2,21499
24,24.0,,13.26,0.0,0.0,0.0,0.0,60.09,0.0,59.21,0.0,0.0,1,7999
25,25.0,,13.28,0.0,0.0,0.0,0.0,60.27,0.0,59.25,0.0,0.0,1,13499
26,26.0,,13.31,0.0,0.0,0.0,0.0,60.29,0.0,59.46,0.0,0.0,3,24499
27,27.0,,13.31,0.0,0.0,0.0,0.0,60.37,0.0,59.43,0.0,0.0,2,18499
28,28.0,,13.26,0.0,0.0,0.0,0.0,60.1,0.0,59.21,0.0,0.0,1,7499
29,29.0,,13.3,0.0,0.0,0.0,0.0,60.35,0.0,59.39,0.0,0.0,2,16499
30,30.0,,13.32,0.0,0.0,0.0,0.0,60.37,0.0,59.49,0.0,0.0,2,21999
31,31.0,,13.32,0.0,0.0,0.0,0.0,60.4,0.0,59.48,0.0,0.0,2,19499
32,32.0,,13.29,0.0,0.0,0.0,0.0,60.32,0.0,59.3,0.0,0.0,1,13999
33,33.0,,13.28,0.0,0.0,0.0,0.0,60.21,0.0,59.27,0.0,0.0,1,10999
34,34.0,,13.31,0.0,0.0,0.0,0.0,60.27,0.0,59.52,0.0,0.0,3,26499
35,35.0,,13.32,0.0,0.0,0.0,0.0,60.35,0.0,59.53,0.0,0.0,3,26999
36,36.0,,13.28,0.0,0.0,0.0,0.0,60.2,0.0,59.29,0.0,0.0,2,10499
37,37.0,,13.28,0.0,0.0,0.0,0.0,60.2,0.0,59.28,0.0,0.0,1,10499
38,38.0,,13.31,0.0,0.0,0.0,0.0,60.3,0.0,59.5,0.0,0.0,2,23999
39,39.0,,13.31,0.0,0.0,0.0,0.0,60.29,0.0,59.46,0.0,0.0,2,22499
40,40.0,,13.31,0.0,0.0,0.0,0.0,60.38,0.0,59.42,0.0,0.0,2,15999
41,41.0,,13.33,0.0,0.0,0.0,0.0,60.4,0.0,59.53,0.0,0.0,2,20999
42,42.0,,13.3,0.0,0.0,0.0,0.0,60.34,0.0,59.35,0.0,0.0,2,14499
43,43.0,,13.3,0.0,0.0,0.0,0.0,60.33,0.0,59.34,0.0,0.0,2,13499
44,44.0,,13.31,0.0,0.0,0.0,0.0,60.38,0.0,59.43,0.0,0.0,2,17499
45,45.0,,13.29,0.0,0.0,0.0,0.0,60.29,0.0,59.33,0.0,0.0,2,12499
46,46.0,,13.29,0.0,0.0,0.0,0.0,60.29,0.0,59.29,0.0,0.0,1,12999
