,Unnamed: 0,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,15.47,0.0,0.0,0.0,0.0,65.49,0.0,73.76,0.0,0.0,0,3999
1,1.0,15.94,0.0,0.0,0.0,0.0,67.2,0.0,76.26,0.0,0.0,0,47999
2,2.0,15.66,0.0,0.0,0.0,0.0,66.29,0.0,74.66,0.0,0.0,0,11999
3,3.0,15.93,0.0,0.0,0.0,0.0,67.18,0.0,76.19,0.0,0.0,0,39999
4,4.0,15.76,0.0,0.0,0.0,0.0,66.55,0.0,75.26,0.0,0.0,0,15999
5,5.0,15.95,0.0,0.0,0.0,0.0,67.43,0.0,76.16,0.0,0.0,0,51999
6,6.0,15.93,0.0,0.0,0.0,0.0,67.28,0.0,76.09,0.0,0.0,0,43999
7,7.0,15.86,0.0,0.0,0.0,0.0,66.88,0.0,75.86,0.0,0.0,0,31999
8,8.0,15.78,0.0,0.0,0.0,0.0,66.85,0.0,75.21,0.0,0.0,0,19999
9,9.0,15.91,0.0,0.0,0.0,0.0,67.29,0.0,75.93,0.0,0.0,0,35999
10,10.0,15.6,0.0,0.0,0.0,0.0,66.17,0.0,74.25,0.0,0.0,0,7999
11,11.0,15.84,0.0,0.0,0.0,0.0,66.73,0.0,75.8,0.0,0.0,0,27999
12,12.0,15.82,0.0,0.0,0.0,0.0,66.79,0.0,75.55,0.0,0.0,0,23999
13,,15.95,0.00,0.00,0.00,0.00,67.27,0.00,76.30,0.00,0.00,0,55999
14,,15.96,0.00,0.00,0.00,0.00,67.25,0.00,76.40,0.00,0.00,0,59999
15,,15.99,0.00,0.00,0.00,0.00,67.54,0.00,76.35,0.00,0.00,0,63999
16,,15.95,0.00,0.00,0.00,0.00,67.31,0.00,76.23,0.00,0.00,0,67999
